title,artist,date,category,medium,id,url,image
La Mendicante,Lorenzo Viani,;,Desenho,carvão e pastel sobre cartão,40257,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/40257,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/9/7/14775_ca_object_representations_media_9700_large.jpg
La Mendicante,Lorenzo Viani,;,Desenho,carvão e pastel sobre cartão,40257,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/40257,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/9/7/14775_ca_object_representations_media_9700_large.jpg
Clemência,Rochelle Costi,2006;,Objeto | Fotografia digital,impressão sobre película de acetato montada em caixa de aglomerado de madeira com lâmpada fluorescente,40190,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/40190,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/9/2/70082_ca_object_representations_media_9276_large.jpg
Destrucción simétrica,Cristian Segura,2010;,Impressão,Impressão fotográfica em cores sobre papel,40218,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/40218,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/9/3/2368_ca_object_representations_media_9309_large.jpg
Bellas artes,Cristian Segura,2010;,Impressão,impressão fotográfica em cores sobre papel,40217,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/40217,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/9/3/8866_ca_object_representations_media_9308_large.jpg
Fuego en el museo,Cristian Segura,2010;,Impressão,impressão em cores sobre papel,40216,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/40216,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/9/3/24974_ca_object_representations_media_9307_large.jpg
Fuego en el museo,Cristian Segura,2010;,Impressão,impressão em cores sobre papel,40215,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/40215,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/9/3/36785_ca_object_representations_media_9306_large.jpg
Vernacular zona de penumbra III (Roupas freudianas),Teresa Berlinck,2018;,Pintura,acrílica e óleo sobre tela,40137,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/40137,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/9/1/64077_ca_object_representations_media_9177_large.jpg
Vernacular zona de penumbra III (Roupas freudianas),Teresa Berlinck,2018;,Pintura,acrílica e óleo sobre tela,40137,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/40137,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/9/1/64077_ca_object_representations_media_9177_large.jpg
Vernacular zona de penumbra III (Roupas freudianas),Teresa Berlinck,2018;,Pintura,acrílica e óleo sobre tela,40137,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/40137,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/9/1/64077_ca_object_representations_media_9177_large.jpg
Vernacular zona de penumbra III (Roupas freudianas),Teresa Berlinck,2018;,Pintura,acrílica e óleo sobre tela,40137,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/40137,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/9/1/64077_ca_object_representations_media_9177_large.jpg
Vernacular zona de penumbra III (Roupas freudianas),Teresa Berlinck,2018;,Pintura,acrílica e óleo sobre tela,40137,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/40137,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/9/1/64077_ca_object_representations_media_9177_large.jpg
Vernacular zona de penumbra III (Roupas freudianas),Teresa Berlinck,2018;,Pintura,acrílica e óleo sobre tela,40137,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/40137,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/9/1/64077_ca_object_representations_media_9177_large.jpg
